intent_name,slot_name,sample_utterance
AskQuestionIntent,question,"dame detalles de {question}"
AskQuestionIntent,question,"dame ejemplos de {question}"
AskQuestionIntent,question,"dame consejos sobre {question}"
AskQuestionIntent,question,"dame un resumen de {question}"
AskQuestionIntent,question,"dame una definición de {question}"
AskQuestionIntent,question,"dame una explicación de {question}"
AskQuestionIntent,question,"dame una recomendación sobre {question}"
AskQuestionIntent,question,"investiga {question}"
AskQuestionIntent,question,"analiza {question}"
AskQuestionIntent,question,"compara {question}"
AskQuestionIntent,question,"resume {question}"
AskQuestionIntent,question,"define {question}"
AskQuestionIntent,question,"recomiéndame {question}"
AskQuestionIntent,question,"dime la fecha de {question}"
AskQuestionIntent,question,"dime el significado de {question}"
AskQuestionIntent,question,"dime el origen de {question}"
AskQuestionIntent,question,"dime las causas de {question}"
AskQuestionIntent,question,"dime las consecuencias de {question}"
AskQuestionIntent,question,"dime las ventajas de {question}"
AskQuestionIntent,question,"dime las desventajas de {question}"
AskQuestionIntent,question,"dime la historia de {question}"
AskQuestionIntent,question,"dime datos sobre {question}"
AskQuestionIntent,question,"dime datos curiosos de {question}"
